potential_total_value_of_award,binned_potential_value,Last Contract Modification/Ammendment,recipient_state_name,extent_competed_code,product_or_service_code,award_type_code,program_activities_funding_this_award,woman_owned_business,minority_owned_business,other_minority_owned_business,contracting_officers_determination_of_business_size_code,number_of_offers_imputed
749008.26,Med,1,VIRGINIA,A,F115,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,S,1
115942.76,Low,0,CALIFORNIA,C,6640,B,0057: ENVIRONMENTAL JUSTICE;00D2: SUPERFUND:  REMEDIAL,f,f,f,S,1
12500000,Med,6,MICHIGAN,A,F999,,,f,f,f,O,2
229794.43,Low,5,NOORD-HOLLAND,G,D317,B,0000: UNKNOWN;00D6: TOXIC SUBSTANCES:  CHEMICAL RISK REVIEW AND REDUCTION,f,f,f,O,1
1392687.88,Med,6,MASSACHUSETTS,A,R410,C,00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES;00K9: RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY,f,f,f,S,4
943336.95,Med,3,DISTRICT OF COLUMBIA,A,R499,C,00L5: WATER INFRASTRUCTURE FINANCE AND INNOVATION,f,f,f,O,4
55650,Low,8,OREGON,F,S208,B,"0000: UNKNOWN;00K6: RESEARCH: AIR, CLIMATE AND ENERGY;00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES",f,f,f,S,3
2667439.12,Med,12,VIRGINIA,A,F108,C,00D2: SUPERFUND:  REMEDIAL,f,t,f,S,3
597108,Med,5,MASSACHUSETTS,A,R425,C,"0000: UNKNOWN;0072: HOMELAND SECURITY:  PREPAREDNESS, RESPONSE, AND RECOVERY",f,f,f,S,2
442225.32,Med,0,VIRGINIA,D,F108,C,00D2: SUPERFUND:  REMEDIAL,f,t,f,S,4
650000,Med,2,GEORGIA,D,F108,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,S,3
124010,Low,3,MISSOURI,D,F108,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL;00D2: SUPERFUND:  REMEDIAL,f,f,f,S,1
6542735.55,Med,17,MISSISSIPPI,D,F999,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,S,1
10804281,High,0,MARYLAND,A,F108,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,S,3
115835.37,Low,11,WISCONSIN,D,F108,C,00D2: SUPERFUND:  REMEDIAL,f,t,f,S,1
65592.72,Low,0,OREGON,F,6640,B,0059: FEDERAL SUPPORT FOR AIR QUALITY MANAGEMENT,f,f,f,S,2
70620.8,Low,0,COLORADO,D,F099,C,00C7: SUPERFUND: ENFORCEMENT,f,f,f,S,1
1586489,Med,11,NORTH CAROLINA,A,F101,A,0046: CLIMATE PROTECTION PROGRAM;0059: FEDERAL SUPPORT FOR AIR QUALITY MANAGEMENT;00NF: IMPLEMENTATION / ACCOUNTABILITY,f,f,f,O,1
1043052,Med,7,VIRGINIA,A,C214,C,0000: UNKNOWN;00D2: SUPERFUND:  REMEDIAL,f,f,f,O,1
1159954.06,Med,2,VIRGINIA,A,R425,C,00D2: SUPERFUND:  REMEDIAL,f,t,f,S,1
777568,Med,0,VIRGINIA,C,B599,D,00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS,f,t,f,S,1
50000,Low,1,MISSOURI,D,F111,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,S,1
41080,Low,0,VIRGINIA,A,V301,A,"00E5: CENTRAL PLANNING, BUDGETING, AND FINANCE",f,f,f,O,2
841428.04,Med,9,MARYLAND,D,F108,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,S,3
32784.68,Low,2,MISSOURI,A,F108,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,O,1
921046,Med,4,DISTRICT OF COLUMBIA,C,R499,C,0043: BROWNFIELDS;0044: CIVIL ENFORCEMENT;0050: COMPLIANCE MONITORING;0052: CRIMINAL ENFORCEMENT;0086: LUST / UST;0090: NEPA IMPLEMENTATION;0095: POLLUTION PREVENTION PROGRAM;0099: RCRA: CORRECTIVE ACTION;00A1: RCRA:  WASTE MANAGEMENT;00C3: STATE AND LOCAL PREVENTION AND PREPAREDNESS;00D7: TOXIC SUBSTANCES:  LEAD RISK REDUCTION PROGRAM;00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS;00J1: PESTICIDES: PROTECT HUMAN HEALTH FROM PESTICIDE RISK;00J2: PESTICIDES: PROTECT THE ENVIRONMENT FROM PESTICIDE RISK,f,f,f,O,1
2838428.58,Med,4,CALIFORNIA,A,F108,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,O,3
492234.64,Med,4,NEW YORK,A,R499,C,00L5: WATER INFRASTRUCTURE FINANCE AND INNOVATION,f,f,f,O,1
220060,Low,0,VIRGINIA,A,B528,C,00D4: SURFACE WATER PROTECTION,f,f,f,O,1
32900,Low,0,NEW HAMPSHIRE,F,6630,B,0058: FEDERAL STATIONARY SOURCE REGULATIONS,t,f,f,S,2
120385.86,Low,3,VIRGINIA,A,AH44,C,"0072: HOMELAND SECURITY:  PREPAREDNESS, RESPONSE, AND RECOVERY;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES",f,f,f,O,1
356598,Med,4,CONNECTICUT,A,R406,C,00F8: IT / DATA MANAGEMENT,f,f,f,O,3
72500,Low,2,MARYLAND,A,R704,C,"00G2: AUDITS, EVALUATIONS, AND INVESTIGATIONS",f,t,f,S,2
20000000,Med,4,ALABAMA,D,Y1DB,,,f,t,f,S,6
40703.6,Low,2,MISSOURI,A,R429,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,O,1
21250,Low,0,MARYLAND,G,U099,B,"0044: CIVIL ENFORCEMENT;0053: DRINKING WATER PROGRAMS;0059: FEDERAL SUPPORT FOR AIR QUALITY MANAGEMENT;00A1: RCRA:  WASTE MANAGEMENT;00C7: SUPERFUND: ENFORCEMENT;00D2: SUPERFUND:  REMEDIAL;00E7: CIVIL RIGHTS/TITLE VI COMPLIANCE;00E8: CONGRESSIONAL, INTERGOVERNMENTAL, EXTERNAL RELATIONS;00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS",f,f,f,O,1
733714,Med,6,VIRGINIA,A,F108,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,O,1
1378983.18,Med,3,PENNSYLVANIA,A,M1AZ,C,"00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS;00K6: RESEARCH: AIR, CLIMATE AND ENERGY;00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES",f,f,f,O,1
20000000,Med,1,VIRGINIA,A,F115,,,f,f,f,O,5
1025162.48,High,5,VIRGINIA,A,R425,C,0099: RCRA: CORRECTIVE ACTION;00A1: RCRA:  WASTE MANAGEMENT,f,f,f,O,2
15538.76,Low,2,PENNSYLVANIA,A,R429,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,O,1
43339,Low,2,COLORADO,D,R425,C,"00K6: RESEARCH: AIR, CLIMATE AND ENERGY",t,f,f,S,1
239440,Low,8,VIRGINIA,A,B504,C,0004: CATEGORICAL GRANT:  STATE AND LOCAL AIR QUALITY MANAGEMENT,f,f,f,O,1
5714309.66,Med,15,OHIO,D,F108,C,,f,f,f,S,1
992043,High,5,NORTH CAROLINA,A,F101,A,0046: CLIMATE PROTECTION PROGRAM;0058: FEDERAL STATIONARY SOURCE REGULATIONS;0059: FEDERAL SUPPORT FOR AIR QUALITY MANAGEMENT,f,f,f,O,1
29793.48,Low,0,VIRGINIA,A,DF01,A,00F8: IT / DATA MANAGEMENT,f,t,f,S,2
44902.28,Low,2,PENNSYLVANIA,A,R429,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,O,1
638325.84,Med,3,VIRGINIA,A,C214,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,O,1
44573.6,Low,2,MASSACHUSETTS,F,6640,B,0050: COMPLIANCE MONITORING,f,f,f,O,6
2931197.26,Med,32,MARYLAND,D,R408,C,0000: UNKNOWN;0050: COMPLIANCE MONITORING;00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS;00J7: GREAT LAKES RESTORATION;0307: SUPERFUND:  ENFORCEMENT;0602: FACILITIES INFRASTRUCTURE AND OPERATIONS;1007: GREAT LAKES RESTORATION;3044: CIVIL ENFORCEMENT;3050: COMPLIANCE MONITORING,f,f,t,S,1
346087.68,Med,2,MARYLAND,A,DC01,C,00D2: SUPERFUND:  REMEDIAL,t,f,f,S,2
120331.8,Low,2,VIRGINIA,A,7A21,A,"0072: HOMELAND SECURITY:  PREPAREDNESS, RESPONSE, AND RECOVERY;0084: HUMAN HEALTH RISK ASSESSMENT;00K6: RESEARCH: AIR, CLIMATE AND ENERGY;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES",f,f,f,O,1
760084,Med,10,PENNSYLVANIA,A,R429,C,0000: UNKNOWN;00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,O,1
27894,Low,2,TEXAS,F,R614,B,00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS,f,f,f,S,1
99900.99,Low,1,CALIFORNIA,D,AJ11,D,"00K6: RESEARCH: AIR, CLIMATE AND ENERGY;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES",f,f,f,S,185
334694,Med,2,MASSACHUSETTS,D,F115,C,00D4: SURFACE WATER PROTECTION,f,f,f,S,21
529891,Med,12,OHIO,D,D399,C,0000: UNKNOWN;00F5: HUMAN RESOURCES MANAGEMENT;00F8: IT / DATA MANAGEMENT,f,t,f,S,1
17036.39,Low,1,MASSACHUSETTS,F,6640,B,0000: UNKNOWN;00J7: GREAT LAKES RESTORATION;1007: GREAT LAKES RESTORATION,f,f,f,O,1
264382,Med,3,VIRGINIA,A,R499,C,"0084: HUMAN HEALTH RISK ASSESSMENT;00K6: RESEARCH: AIR, CLIMATE AND ENERGY;00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES",f,f,f,O,1
8449346.24,Med,44,VIRGINIA,C,D319,C,"0000: UNKNOWN;00E5: CENTRAL PLANNING, BUDGETING, AND FINANCE",f,f,f,O,1
385727.1,High,2,VIRGINIA,A,R499,C,00D4: SURFACE WATER PROTECTION,f,f,f,O,1
40000,Low,1,MISSOURI,A,F108,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,O,1
16309,Low,0,OREGON,G,J043,B,"00K6: RESEARCH: AIR, CLIMATE AND ENERGY",f,f,f,O,1
15000000,Med,8,COLORADO,D,F099,,,f,f,f,S,3
664250,High,3,IDAHO,D,R425,C,0006: CATEGORICAL GRANT:  POLLUTION CONTROL (SEC. 106);00D4: SURFACE WATER PROTECTION,f,f,f,S,3
1962500,Med,6,MISSOURI,D,F111,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,S,1
0,Low,2,OHIO,D,F108,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,t,f,S,1
882822.08,Med,21,MARYLAND,D,R408,C,0000: UNKNOWN;0099: RCRA: CORRECTIVE ACTION;00A1: RCRA:  WASTE MANAGEMENT;0101: RCRA:  WASTE MANAGEMENT,f,f,t,S,1
92555.19,Low,2,VIRGINIA,A,B528,C,00D4: SURFACE WATER PROTECTION,f,f,f,O,1
11531,Low,0,MASSACHUSETTS,F,6640,B,00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES,f,f,f,O,2
76193.38,Low,0,MARYLAND,,6830,,,f,f,f,S,1
2342561.06,Med,35,MARYLAND,D,R408,C,0000: UNKNOWN;0050: COMPLIANCE MONITORING;0090: NEPA IMPLEMENTATION;0099: RCRA: CORRECTIVE ACTION;00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS;00F8: IT / DATA MANAGEMENT;00K5: GEOGRAPHIC PROGRAM: PUGET SOUND;0101: RCRA:  WASTE MANAGEMENT;0602: FACILITIES INFRASTRUCTURE AND OPERATIONS;0608: IT / DATA MANAGEMENT;3068: GEOGRAPHIC PROGRAM:  OTHER,f,f,t,S,1
300225.75,Med,4,VIRGINIA,A,B504,C,0004: CATEGORICAL GRANT:  STATE AND LOCAL AIR QUALITY MANAGEMENT,f,f,f,O,1
497387.18,Med,6,MISSOURI,D,F108,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,S,3
15000,Low,2,MISSOURI,D,F111,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,S,1
4120304.47,Med,20,MARYLAND,D,R408,C,0000: UNKNOWN;00C7: SUPERFUND: ENFORCEMENT;00D2: SUPERFUND:  REMEDIAL;0307: SUPERFUND:  ENFORCEMENT;0402: SUPERFUND:  REMEDIAL,f,f,t,S,1
307775.29,High,13,WISCONSIN,D,F108,C,00D2: SUPERFUND:  REMEDIAL,f,t,f,S,3
605899.5,Med,2,PENNSYLVANIA,A,R429,C,"0091: OIL SPILL: PREVENTION, PREPAREDNESS AND RESPONSE",f,f,f,O,1
276716.54,Med,6,OHIO,F,J066,B,"0053: DRINKING WATER PROGRAMS;0084: HUMAN HEALTH RISK ASSESSMENT;00K6: RESEARCH: AIR, CLIMATE AND ENERGY;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES",f,f,f,O,1
68169.15,Low,2,PENNSYLVANIA,A,M1AZ,C,"00K6: RESEARCH: AIR, CLIMATE AND ENERGY",f,f,f,O,1
15000,Low,1,MISSOURI,D,F111,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,S,1
5149567.72,Med,2,MARYLAND,A,F108,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,S,2
175000,Low,4,MISSOURI,D,F108,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,S,1
78599.69,Low,2,VIRGINIA,A,R608,C,00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS,f,f,f,S,2
465239.04,Med,4,NEW HAMPSHIRE,D,F108,C,0000: UNKNOWN;00D2: SUPERFUND:  REMEDIAL,f,t,f,S,6
26377.48,Low,3,MISSOURI,D,F108,C,0000: UNKNOWN;00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,S,1
474000,Med,8,PENNSYLVANIA,A,R429,C,0000: UNKNOWN;00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,O,1
73547.01,Low,9,CALIFORNIA,A,B510,C,0000: UNKNOWN;00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,O,1
1142051,Med,3,VIRGINIA,A,F108,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,O,1
571113.96,Med,3,PENNSYLVANIA,A,R429,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL;00D2: SUPERFUND:  REMEDIAL,f,f,f,O,1
194842.51,Low,1,VIRGINIA,A,F115,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,S,1
207763,Low,1,MARYLAND,A,AH11,C,0042: BEACH / FISH PROGRAMS;00D4: SURFACE WATER PROTECTION,f,f,f,O,1
3490791,Med,2,MASSACHUSETTS,D,AJ13,C,00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES,f,f,f,S,1
52808.43,Low,1,VIRGINIA,A,B528,C,00A4: REGULATORY INNOVATION,f,f,f,O,1
304670.58,Med,4,NORTH CAROLINA,A,R499,C,0046: CLIMATE PROTECTION PROGRAM,f,f,f,O,4
9142.5,Low,4,PENNSYLVANIA,F,S208,B,00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS,f,f,f,S,3
21972439.68,Med,6,GEORGIA,D,F108,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,S,3
1562349,High,13,MASSACHUSETTS,A,R499,C,0046: CLIMATE PROTECTION PROGRAM;00CG: AIR POLLUTION,f,f,f,O,3
506491.8,Med,3,VIRGINIA,A,R408,C,00F5: HUMAN RESOURCES MANAGEMENT,f,f,f,S,2
82605.6,Low,0,ILLINOIS,A,V301,A,"00E5: CENTRAL PLANNING, BUDGETING, AND FINANCE",f,f,f,O,2
101883.95,Low,2,NEW YORK,A,AJ11,C,0084: HUMAN HEALTH RISK ASSESSMENT,f,f,f,O,1
100500000,Med,2,VIRGINIA,A,R499,,00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES,f,f,f,O,2
119240.7,Low,1,MASSACHUSETTS,C,J066,B,0062: FORENSICS SUPPORT,f,f,f,O,1
20600,Low,1,NORTH CAROLINA,F,AH52,C,00K9: RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY,f,f,f,S,1
538113,Med,9,WEST VIRGINIA,B,F108,D,0000: UNKNOWN;00D2: SUPERFUND:  REMEDIAL,t,t,f,S,1
456372,Med,3,MASSACHUSETTS,A,R499,C,0053: DRINKING WATER PROGRAMS,f,f,f,O,1
61888,Low,2,NORTH CAROLINA,G,B599,B,"00K6: RESEARCH: AIR, CLIMATE AND ENERGY;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES",f,f,f,O,1
616876.94,Med,1,MASSACHUSETTS,D,B510,C,00A1: RCRA:  WASTE MANAGEMENT,f,f,f,S,3
24630572.66,Med,16,CALIFORNIA,A,F108,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,O,1
1813053.41,High,2,MASSACHUSETTS,A,R499,C,0079: BROWNFIELDS PROJECTS,f,f,f,O,3
395138,Med,3,MASSACHUSETTS,C,F115,C,0008: CATEGORICAL GRANT:  UNDERGROUND INJECTION CONTROL  (UIC),f,f,f,O,1
288371.51,Med,4,NEW JERSEY,A,S111,C,00A1: RCRA:  WASTE MANAGEMENT;00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS;00J1: PESTICIDES: PROTECT HUMAN HEALTH FROM PESTICIDE RISK;00J2: PESTICIDES: PROTECT THE ENVIRONMENT FROM PESTICIDE RISK;00J3: PESTICIDES: REALIZE THE VALUE OF PESTICIDE AVAILABILITY,f,f,f,O,1
250000,Med,2,OHIO,D,F108,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,t,f,S,1
74769,Low,0,VIRGINIA,A,6640,C,00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES,f,f,f,S,1
123500,Low,0,TEXAS,G,6640,B,"00K6: RESEARCH: AIR, CLIMATE AND ENERGY",f,f,f,S,1
3159568,Med,8,MICHIGAN,D,R499,C,0089: NATIONAL ESTUARY PROGRAM / COASTAL WATERWAYS;00D4: SURFACE WATER PROTECTION;00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES,f,f,f,S,2
6118980.86,High,1,NEW HAMPSHIRE,A,F108,C,00D2: SUPERFUND:  REMEDIAL,f,t,f,S,3
996635,High,0,MISSOURI,D,F999,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,S,1
557057.75,Med,2,VIRGINIA,A,C214,C,00D2: SUPERFUND:  REMEDIAL,f,t,f,S,1
795000000,Med,5,ILLINOIS,A,F108,,0000: UNKNOWN,f,f,f,O,13
184600,Low,2,OKLAHOMA,F,J059,B,00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS;00F8: IT / DATA MANAGEMENT,t,f,f,S,2
516008,Med,1,TENNESSEE,D,R602,C,0062: FORENSICS SUPPORT,f,f,f,O,1
751572,Med,24,MASSACHUSETTS,A,F999,C,0000: UNKNOWN;0057: ENVIRONMENTAL JUSTICE;00D2: SUPERFUND:  REMEDIAL;00E4: ALTERNATIVE DISPUTE RESOLUTION,f,f,f,O,1
2033124.75,Med,3,OHIO,D,F108,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,t,f,S,1
12138.75,Low,0,NORTH CAROLINA,F,J041,B,00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES,f,f,f,O,2
60758.53,Low,1,MASSACHUSETTS,A,6630,C,00D2: SUPERFUND:  REMEDIAL;00G4: REGIONAL SCIENCE AND TECHNOLOGY,f,f,f,O,1
310863.93,Med,5,MARYLAND,D,R408,C,00D2: SUPERFUND:  REMEDIAL,f,f,t,S,1
299921,Med,0,VIRGINIA,A,F115,A,0080: INFRASTRUCTURE ASSISTANCE:  CLEAN WATER SRF,f,f,f,O,1
16134.54,Low,0,UTAH,A,6660,C,00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES,f,f,f,S,1
660739,Med,10,TENNESSEE,A,R499,C,"00K6: RESEARCH: AIR, CLIMATE AND ENERGY;00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES",f,f,f,O,1
3348220.2,Med,2,VIRGINIA,D,DA10,C,0054: ENDOCRINE DISRUPTORS;0084: HUMAN HEALTH RISK ASSESSMENT;00D6: TOXIC SUBSTANCES:  CHEMICAL RISK REVIEW AND REDUCTION,f,f,f,S,3
198183.94,Low,1,NEW JERSEY,A,F999,A,0086: LUST / UST,f,f,f,S,1
32000,Low,1,VIRGINIA,F,R699,B,,f,f,f,O,1
7666198.82,Med,0,COLORADO,A,F108,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,O,1
28989.87,Low,1,MISSOURI,A,R429,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,O,1
103970.69,Low,0,VIRGINIA,A,B516,C,00D4: SURFACE WATER PROTECTION,f,f,f,O,1
1011800,Med,3,NEW YORK,A,R499,C,00L5: WATER INFRASTRUCTURE FINANCE AND INNOVATION,f,f,f,O,4
81599.56,Low,1,OHIO,D,F108,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,t,f,S,1
128546,Low,2,MASSACHUSETTS,A,F999,C,00A1: RCRA:  WASTE MANAGEMENT,f,f,f,O,1
708318,Med,8,MARYLAND,D,R425,C,00H5: REDUCE RISKS FROM INDOOR AIR,t,f,f,S,1
35565.29,Low,1,MASSACHUSETTS,A,6640,C,00D2: SUPERFUND:  REMEDIAL;00G4: REGIONAL SCIENCE AND TECHNOLOGY,f,f,f,O,1
28857.34,Low,0,DISTRICT OF COLUMBIA,D,7A21,C,0052: CRIMINAL ENFORCEMENT,t,t,f,S,4
500000,Med,0,MISSOURI,D,F108,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,S,3
102029,Low,2,VIRGINIA,A,F999,A,0058: FEDERAL STATIONARY SOURCE REGULATIONS;0059: FEDERAL SUPPORT FOR AIR QUALITY MANAGEMENT,f,f,f,O,1
1355393,Med,0,CALIFORNIA,A,R425,A,00D4: SURFACE WATER PROTECTION,f,f,f,O,1
38140,Low,1,MASSACHUSETTS,F,B510,B,0004: CATEGORICAL GRANT:  STATE AND LOCAL AIR QUALITY MANAGEMENT,f,f,f,O,2
82748,Low,0,FLORIDA,A,6630,C,00D2: SUPERFUND:  REMEDIAL;00G4: REGIONAL SCIENCE AND TECHNOLOGY,f,f,f,O,1
1456000,Med,0,MISSOURI,D,F999,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,S,1
2974899.21,Med,3,MARYLAND,A,F108,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,S,2
220000000,Med,4,OHIO,D,F108,,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,t,f,S,6
264413.87,High,0,COLORADO,D,R425,C,0044: CIVIL ENFORCEMENT;0050: COMPLIANCE MONITORING,f,f,f,S,1
1792096.07,Med,2,COLORADO,A,F108,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,O,1
5150000,Med,8,OHIO,D,F108,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,t,f,S,1
6165003,High,0,COLORADO,A,R429,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,O,1
241178,Low,16,PENNSYLVANIA,A,R429,C,"0000: UNKNOWN;0091: OIL SPILL: PREVENTION, PREPAREDNESS AND RESPONSE",f,f,f,O,1
423000,Med,0,MARYLAND,A,R707,C,00D2: SUPERFUND:  REMEDIAL,t,t,f,S,5
14418,Low,1,WISCONSIN,A,6640,C,00K9: RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY,f,f,f,S,4
77679.36,Low,2,COLORADO,D,F099,C,00C7: SUPERFUND: ENFORCEMENT,f,f,f,S,1
48096.3,Low,1,CALIFORNIA,F,6640,B,00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES,f,f,f,O,1
81000,Low,1,OHIO,D,F108,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,t,f,S,1
54000000,Med,1,VIRGINIA,D,R499,,,t,t,f,S,4
450000,High,3,ILLINOIS,D,U001,,,f,f,f,S,3
240000,Low,2,MISSOURI,D,F108,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,S,1
99458,Low,0,CALIFORNIA,D,AJ11,D,00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES,f,f,f,S,185
16910.91,Low,0,VIRGINIA,A,6640,C,0084: HUMAN HEALTH RISK ASSESSMENT;00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES,t,t,f,S,2
16353.51,Low,0,PENNSYLVANIA,A,6640,C,00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES,f,f,f,S,2
976440,Med,1,MASSACHUSETTS,F,X1LZ,B,00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS,f,f,f,S,4
1595360,Med,2,DISTRICT OF COLUMBIA,A,R499,C,00L5: WATER INFRASTRUCTURE FINANCE AND INNOVATION,f,f,f,O,4
284651,Med,2,VIRGINIA,A,F999,A,0046: CLIMATE PROTECTION PROGRAM;0059: FEDERAL SUPPORT FOR AIR QUALITY MANAGEMENT,f,f,f,S,1
2621096,Med,5,VIRGINIA,A,R425,C,00D4: SURFACE WATER PROTECTION,f,f,f,O,1
100054.24,Low,0,WASHINGTON,A,B510,A,00D4: SURFACE WATER PROTECTION,f,f,f,S,1
1274244,Med,3,MISSOURI,D,F108,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,S,1
82740,Low,0,ILLINOIS,A,V301,A,"00E5: CENTRAL PLANNING, BUDGETING, AND FINANCE",f,f,f,O,1
10632677.33,Med,66,DISTRICT OF COLUMBIA,D,DF01,C,0042: BEACH / FISH PROGRAMS;0053: DRINKING WATER PROGRAMS;0061: FEDERAL VEHICLE AND FUELS STANDARDS AND CERTIFICATION;0063: GEOGRAPHIC PROGRAM:  CHESAPEAKE BAY;0071: HOMELAND SECURITY:  CRITICAL INFRASTRUCTURE PROTECTION;0088: MARINE POLLUTION;0089: NATIONAL ESTUARY PROGRAM / COASTAL WATERWAYS;00D4: SURFACE WATER PROTECTION;00D6: TOXIC SUBSTANCES:  CHEMICAL RISK REVIEW AND REDUCTION;00E2: WETLANDS;00J1: PESTICIDES: PROTECT HUMAN HEALTH FROM PESTICIDE RISK;00L5: WATER INFRASTRUCTURE FINANCE AND INNOVATION,f,f,f,S,3
153469,Low,0,INDIANA,G,B507,B,0061: FEDERAL VEHICLE AND FUELS STANDARDS AND CERTIFICATION,f,f,f,O,1
